0.018429	4.218856	824.951151	0.748360	0.000005	1.000000
-2.168433	-0.328442	-56.799142	0.974832	0.000001	3.000000
0.190179	0.950823	-1127.377620	6.217347	-0.000005	5.000000
1.577535	3.101781	1.488672	0.321176	0.000002	10.000000
50.580525	1.931406	375.778024	-7.995280	-0.000004	15.000000
2128.949414	2.221211	3602.671900	6.357304	0.000000	15.000000
1058451.313944	10.564615	1058451.292097	10.733065	0.000001	100.000000
552.896849	-0.286030	590.585849	-0.408819	0.000001	15.000000
2128.949414	2.221211	3602.671900	6.357304	0.000000	15.000000
2128.949414	2.221211	3602.671900	6.357304	0.000000	15.000000
552.920307	0.000000	590.619419	0.000000	0.000000	15.000000
6.283185	-0.000000	6.283185	-0.000000	-0.000003	1.000000
552.920307	0.000000	590.619419	0.000000	0.000003	15.000000
1196.926991	-1.270933	4143.518177	6.347424	0.001616	15.000000
-984.026588	-2.918797	-805.621068	-6.425927	0.001433	1.000000
-1764.068969	6.615084	-3316.783261	-9.001730	0.001532	5.000000
6.283185	-0.000000	6.283185	-0.000000	0.000000	1.000000
6.040685	0.235230	5.942929	0.291032	0.000689	1.000000
552.919095	-0.907232	590.617300	-1.500960	0.000885	15.000000
38.213785	-0.618154	57.244286	-0.467683	0.000727	3.000000
31.332358	-0.263394	37.579955	-0.369880	0.000573	5.000000
-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	1.000000
-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	1.000000
6.040685	0.235230	5.942929	0.291032	0.000472	1.000000
6.040685	0.235230	5.942929	0.291032	0.000923	1.000000
6.040685	0.235230	5.942929	0.291032	0.001067	1.000000
6.270844	0.188372	6.265643	0.267672	0.000103	1.000000
552.896849	-0.286030	590.585849	-0.408819	0.000156	15.000000
-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	1.000000
6.270844	0.188372	6.265643	0.267672	0.000103	1.000000
0.023560	0.109909	31.449299	0.155497	0.000086	0.010000
0.052032	0.059064	44.055870	0.083037	0.000143	0.000100
-0.096129	0.207642	-44.118769	0.288977	0.000142	200.000000
552.896849	-0.286030	590.585849	-0.408819	0.000088	15.000000
6.270844	0.188372	6.265643	0.267672	0.000069	1.000000
6.270844	0.188372	6.265643	0.267672	0.000203	1.000000
6.040685	0.235230	5.942929	0.291032	0.002026	1.000000
